Adress,City,Street name,Postal code,Latitude,Longitude,Rooms,Property type,Elevator,Balcony/Terrace,Energy label,Price,Province,Days on Market,Link,Off. vurdering,Home size,Monthly expense,Ground size
Bygaden 79,Horsens,Bygaden 79,8700,55.87289,9.922028,5 værelser,Villa,,,D,1995000,Østjylland,62 dage,https://www.boligsiden.dk/addresses/0a3f50bb-3d87-32b8-e044-0003ba298018,2.161.000,185,2.19,705
Ambolten 6,Gredstedbro,Ambolten 6,6771,55.39561,8.740844,6 værelser,Villa,,,E,998000,Sydjylland,347 dage,https://www.boligsiden.dk/addresses/0a3f50b9-b96f-32b8-e044-0003ba298018,749.000,107,1.002,447
Balshavevej 36,Odder,Balshavevej 36,8300,55.953773,10.19161,9 værelser,Villa,,,C,2599000,Østjylland,40 dage,https://www.boligsiden.dk/addresses/0a3f50c0-9416-32b8-e044-0003ba298018,,306,3.241,8500
Kirkebjergvej 19,Rødvig Stevns,Kirkebjergvej 19,4673,55.272224,12.330465,5 værelser,Villa,,,D,1650000,Vest- og Sydsjælland,14 dage,https://www.boligsiden.dk/addresses/0a3f50b1-5069-32b8-e044-0003ba298018,1.602.000,144,1.732,734
Tirslundvej 28,Brørup,Tirslundvej 28,6650,55.48497,9.005362,4 værelser,Villa,,,C,745000,Sydjylland,68 dage,https://www.boligsiden.dk/addresses/0a3f50b8-bee8-32b8-e044-0003ba298018,939.000,100,1.311,985
Kastanievej 17,Haslev,Kastanievej 17,4690,55.325535,11.976376,5 værelser,Villa,,,B,2645000,Vest- og Sydsjælland,72 dage,https://www.boligsiden.dk/addresses/0a3f50ad-14b8-32b8-e044-0003ba298018,2.263.000,182,2.238,475
Ægirsvej 10,Ry,Ægirsvej 10,8680,56.09325,9.770727,7 værelser,Villa,,,D,4595000,Østjylland,6 dage,https://www.boligsiden.dk/addresses/0a3f50c1-9354-32b8-e044-0003ba298018,4.156.000,197,3.37,863
Understedvej 94,Sæby,Understedvej 94,9300,57.366493,10.459736,5 værelser,Villa/Fritidsbolig,,,B,895000,Nordjylland,14 dage,https://www.boligsiden.dk/addresses/0a3f50c9-9631-32b8-e044-0003ba298018,789.000,168,1.294,916
Trehusevej 2A,Karup J,Trehusevej 2A,7470,56.345108,9.247401,4 værelser,Villa,,,D,895000,Vestjylland,71 dage,https://www.boligsiden.dk/addresses/0a3f50c5-1ac6-32b8-e044-0003ba298018,810.000,125,1.537,1300
Højskolevej 7,Kolding,Højskolevej 7,6000,55.480724,9.453774,4 værelser,Villa,,,C,2495000,Sydjylland,61 dage,https://www.boligsiden.dk/addresses/0a3f50bc-0b98-32b8-e044-0003ba298018,2.133.000,151,2.638,650
Smedevej 19,Nørre Alslev,Smedevej 19,4840,54.887817,11.901321,5 værelser,Villa,,,C,1295000,Vest- og Sydsjælland,69 dage,https://www.boligsiden.dk/addresses/0a3f50b0-e497-32b8-e044-0003ba298018,823.000,151,1.524,1075
Østergårdsvej 11,Silkeborg,Østergårdsvej 11,8600,56.191193,9.69852,5 værelser,Villa,,,C,1995000,Østjylland,5 dage,https://www.boligsiden.dk/addresses/0a3f50bf-c07f-32b8-e044-0003ba298018,1.913.000,140,2.403,860
Oddesundvej 222,Bedsted Thy,Oddesundvej 222,7755,56.823166,8.495001,4 værelser,Villa,,,D,199000,Nordjylland,65 dage,https://www.boligsiden.dk/addresses/0a3f50c5-f3dd-32b8-e044-0003ba298018,,70,710.0,988
Monradsvej 23,Horsens,Monradsvej 23,8700,55.84705,9.833202,6 værelser,Villa,,,D,1945000,Østjylland,61 dage,https://www.boligsiden.dk/addresses/0a3f50bb-7461-32b8-e044-0003ba298018,1.561.000,134,1.591,701
Nørregade 13,Ranum,Nørregade 13,9681,56.897,9.231216,5 værelser,Villa,,,B,900000,Nordjylland,318 dage,https://www.boligsiden.dk/addresses/0a3f50c8-8df6-32b8-e044-0003ba298018,,180,1.075,1200
Fjordglimt 2,Struer,Fjordglimt 2,7600,56.489117,8.596396,4 værelser,Villa,,,D,895000,Vestjylland,49 dage,https://www.boligsiden.dk/addresses/0a3f50be-d14a-32b8-e044-0003ba298018,761.000,115,1.401,496
Kystvejen 26,Køge,Kystvejen 26,4600,55.415558,12.250889,6 værelser,Villa,,,C,4495000,Vest- og Sydsjælland,68 dage,https://www.boligsiden.dk/addresses/0a3f50ac-7a44-32b8-e044-0003ba298018,3.891.000,137,2.313,406
Rens Bygade 42,Bylderup-Bov,Rens Bygade 42,6372,54.895874,9.08622,4 værelser,Villa,,,D,945000,Sydjylland,41 dage,https://www.boligsiden.dk/addresses/0a3f50b7-e420-32b8-e044-0003ba298018,497.000,145,963.0,1035
Munkevænget 21,Holbæk,Munkevænget 21,4300,55.710262,11.744492,5 værelser,Villa,,,B,3395000,Vest- og Sydsjælland,52 dage,https://www.boligsiden.dk/addresses/0a3f50ad-57ac-32b8-e044-0003ba298018,2.987.000,144,3.052,633
H.C. Andersens Vej 25,Haderslev,H.C. Andersens Vej 25,6100,55.25874,9.5082,5 værelser,Villa,,,C,1850000,Sydjylland,432 dage,https://www.boligsiden.dk/addresses/0a3f50b6-b876-32b8-e044-0003ba298018,1.606.000,143,2.106,1093
Nordre Farimagsvej 17,Næstved,Nordre Farimagsvej 17,4700,55.235287,11.762262,5 værelser,Villa,,,C,2665000,Vest- og Sydsjælland,172 dage,https://www.boligsiden.dk/addresses/0a3f50b0-a512-32b8-e044-0003ba298018,2.057.000,140,3.16,328
Kirkevangen 14,Knebel,Kirkevangen 14,8420,56.247417,10.493708,6 værelser,Villa,,,B,2995000,Østjylland,172 dage,https://www.boligsiden.dk/addresses/0a3f50bf-7b33-32b8-e044-0003ba298018,1.698.000,223,2.38,826
Store Møllevænge 15,Roskilde,Store Møllevænge 15,4000,55.630142,12.069623,2 værelser,Villa,,,E,2800000,Østsjælland,2 dage,https://www.boligsiden.dk/addresses/0a3f50ac-20aa-32b8-e044-0003ba298018,2.596.000,80,3.849,1043
Ravnstrupvej 1,Eskilstrup,Ravnstrupvej 1,4863,54.868958,11.913196,4 værelser,Villa,,,G,395000,Vest- og Sydsjælland,6 dage,https://www.boligsiden.dk/addresses/0a3f50b0-e29b-32b8-e044-0003ba298018,468.000,96,1.093,1222
Nejsiggyden 11,Sæby,Nejsiggyden 11,9300,57.343243,10.511095,6 værelser,Villa,,,D,1398000,Nordjylland,71 dage,https://www.boligsiden.dk/addresses/0a3f50c9-8889-32b8-e044-0003ba298018,1.291.000,154,1.473,704
Snedkervej 2,Hadsund,Snedkervej 2,9560,56.803665,10.264911,6 værelser,Villa,,,C,1995000,Nordjylland,29 dage,https://www.boligsiden.dk/addresses/0a3f50c7-b02a-32b8-e044-0003ba298018,1.487.000,187,1.747,3075
Søndervinge 8,Esbjerg,Søndervinge 8,6700,55.4777,8.445759,4 værelser,Villa,,,C,3598000,Sydjylland,13 dage,https://www.boligsiden.dk/addresses/0a3f50b9-4cdf-32b8-e044-0003ba298018,2.589.000,173,2.361,609
Holmelund 30,Aarup,Holmelund 30,5560,55.38039,10.056257,7 værelser,Villa,,,C,2795000,Fyn,28 dage,https://www.boligsiden.dk/addresses/0a3f50b6-3618-32b8-e044-0003ba298018,2.870.000,322,2.424,1311
Dybdalvej 10,Knebel,Dybdalvej 10,8420,56.23321,10.524266,3 værelser,Villa/Fritidsbolig,,,G,875000,Østjylland,48 dage,https://www.boligsiden.dk/addresses/0a3f50bf-6a5d-32b8-e044-0003ba298018,939.000,100,1.574,1043
Markvangen 4,Ebeltoft,Markvangen 4,8400,56.2116,10.702875,5 værelser,Villa/Fritidsbolig,,,D,3495000,Østjylland,22 dage,https://www.boligsiden.dk/addresses/0a3f50bf-8226-32b8-e044-0003ba298018,2.290.000,138,2.279,1346
Rønnebærvej 10,Nykøbing M,Rønnebærvej 10,7900,56.77746,8.829355,6 værelser,Villa,,,B,2295000,Nordjylland,33 dage,https://www.boligsiden.dk/addresses/16d19f5b-f485-16bd-e044-0003ba298018,1.684.000,170,1.569,824
Folkevej 17,Gentofte,Folkevej 17,2820,55.749844,12.502692,4 værelser,Villa,,,B,5995000,Københavns omegn,2 dage,https://www.boligsiden.dk/addresses/0a3f50a3-babe-32b8-e044-0003ba298018,7.471.000,126,5.056,1034
Østerled 7,Pandrup,Østerled 7,9490,57.223522,9.678757,3 værelser,Villa,,,E,798000,Nordjylland,5 dage,https://www.boligsiden.dk/addresses/0a3f50c8-fc4c-32b8-e044-0003ba298018,,92,1.081,897
Sjællandsgade 103,Herning,Sjællandsgade 103,7400,56.14299,8.992892,4 værelser,Villa,,,D,1850000,Vestjylland,210 dage,https://www.boligsiden.dk/addresses/0a3f50bd-a312-32b8-e044-0003ba298018,1.625.000,103,1.737,581
Leandervej 10,Aalborg,Leandervej 10,9000,57.032745,9.875259,4 værelser,Villa,,,E,5100000,Nordjylland,23 dage,https://www.boligsiden.dk/addresses/0a3f50ca-4e4e-32b8-e044-0003ba298018,3.932.000,138,3.508,960
Grønnemarksvej 19,Brøndby,Grønnemarksvej 19,2605,55.651123,12.392814,6 værelser,Villa,,,C,4500000,Københavns omegn,240 dage,https://www.boligsiden.dk/addresses/0a3f50a3-5b85-32b8-e044-0003ba298018,4.268.000,167,3.368,778
Blæshøjvej 30,Brønderslev,Blæshøjvej 30,9700,57.286396,9.751761,3 værelser,Villa,,,D,425000,Nordjylland,14 dage,https://www.boligsiden.dk/addresses/0a3f50c8-d023-32b8-e044-0003ba298018,334.000,113,914.0,785
Banevænget 52,Give,Banevænget 52,7323,55.868313,9.363143,2 værelser,Villa,,,C,640000,Sydjylland,75 dage,https://www.boligsiden.dk/addresses/0a3f50ba-f9a0-32b8-e044-0003ba298018,834.000,87,1.499,659
Thorstedvej 134,Thisted,Thorstedvej 134,7700,56.971554,8.618263,4 værelser,Villa,,,D,295000,Nordjylland,72 dage,https://www.boligsiden.dk/addresses/0a3f50c6-3506-32b8-e044-0003ba298018,913.000,145,1.43,2402
Pærgårdsvej 11,Juelsminde,Pærgårdsvej 11,7130,55.778675,10.005724,9 værelser,Villa,,,C,3695000,Østjylland,34 dage,https://www.boligsiden.dk/addresses/0a3f50bb-cb0d-32b8-e044-0003ba298018,3.622.000,376,2.627,4072
Munkedammen 21,Brøndby,Munkedammen 21,2605,55.661312,12.429482,5 værelser,Villa,,,B,4995000,Københavns omegn,63 dage,https://www.boligsiden.dk/addresses/0a3f50a3-6aed-32b8-e044-0003ba298018,4.382.000,143,3.498,612
Degnetoft 20,Gråsten,Degnetoft 20,6300,54.9308,9.494276,4 værelser,Villa,,,C,400000,Sydjylland,0 dag,https://www.boligsiden.dk/addresses/0a3f50b6-959a-32b8-e044-0003ba298018,696.000,146,1.214,1694
Pilegårdsvej 186,Hasselager,Pilegårdsvej 186,8361,56.106644,10.080529,4 værelser,Villa,,,C,2648000,Østjylland,43 dage,https://www.boligsiden.dk/addresses/0a3f50c3-df19-32b8-e044-0003ba298018,2.661.000,113,2.571,969
Ålstrupvej 9,Valby,Ålstrupvej 9,2500,55.67568,12.492104,5 værelser,Villa,,,D,10000000,Byen København,48 dage,https://www.boligsiden.dk/addresses/0a3f50a1-fba4-32b8-e044-0003ba298018,8.800.000,143,5.663,535
Kringsager 42,Kolding,Kringsager 42,6000,55.519215,9.486575,5 værelser,Villa,,,C,1895000,Sydjylland,7 dage,https://www.boligsiden.dk/addresses/0a3f50bc-19f8-32b8-e044-0003ba298018,1.967.000,120,2.197,872
Amager Strandvej 234,København S,Amager Strandvej 234,2300,55.651466,12.639575,6 værelser,Villa,,,A2015,15995000,Byen København,55 dage,https://www.boligsiden.dk/addresses/0a3f509d-2517-32b8-e044-0003ba298018,17.008.000,183,12.55,547
Buskelundskoven 75,Silkeborg,Buskelundskoven 75,8600,56.18487,9.49708,6 værelser,Villa,,,,5195000,Østjylland,13 dage,https://www.boligsiden.dk/addresses/7686c94a-1bd8-07bb-e044-00144f3ead67,4.944.000,196,3.293,1118
Denderupvej 16,Haslev,Denderupvej 16,4690,55.26184,11.96334,6 værelser,Villa/Fritidsbolig,,,D,1095000,Vest- og Sydsjælland,28 dage,https://www.boligsiden.dk/addresses/0a3f50b1-2a00-32b8-e044-0003ba298018,2.403.000,181,2.706,1094
Bjørnøvænget 25,Tilst,Bjørnøvænget 25,8381,56.17515,10.098557,4 værelser,Villa,,,C,3195000,Østjylland,302 dage,https://www.boligsiden.dk/addresses/0a3f50c2-83a6-32b8-e044-0003ba298018,2.949.000,139,2.7,723
Dalvænget 6,Jelling,Dalvænget 6,7300,55.75771,9.412454,4 værelser,Villa,,,C,2350000,Sydjylland,Til salg i alt:496dage,https://www.boligsiden.dk/addresses/0a3f50bb-a8cb-32b8-e044-0003ba298018,2.218.000,162,2.117,716
Aalborgvej 22,Terndrup,Aalborgvej 22,9575,56.828312,10.050432,6 værelser,Villa,,,D,995000,Nordjylland,1002 dage,https://www.boligsiden.dk/addresses/0a3f50c9-47dc-32b8-e044-0003ba298018,1.214.000,190,1.415,885
Fyrrebakken 2,Hammel,Fyrrebakken 2,8450,56.252735,9.872575,6 værelser,Villa,,,C,1895000,Østjylland,43 dage,https://www.boligsiden.dk/addresses/0a3f50c0-0562-32b8-e044-0003ba298018,2.178.000,176,4.563,1040
Skolestien 4,Hinnerup,Skolestien 4,8382,56.269352,10.100822,5 værelser,Villa,,,C,2800000,Østjylland,14 dage,https://www.boligsiden.dk/addresses/0a3f50c0-2506-32b8-e044-0003ba298018,2.016.000,179,2.228,578
Åparken 24,Ansager,Åparken 24,6823,55.70232,8.760014,4 værelser,Villa,,,C,1295000,Sydjylland,48 dage,https://www.boligsiden.dk/addresses/0a3f50ba-274c-32b8-e044-0003ba298018,816.000,126,1.283,753
Skovstrupvej 15,Tommerup,Skovstrupvej 15,5690,55.32674,10.186958,6 værelser,Villa,,,B,1745000,Fyn,49 dage,https://www.boligsiden.dk/addresses/0a3f50b5-e40a-32b8-e044-0003ba298018,1.471.000,207,2.152,7883
Villumhøj 5,Løgstrup,Villumhøj 5,8831,56.51313,9.3419075,5 værelser,Villa,,,C,2295000,Vestjylland,Til salg i alt:5dage,https://www.boligsiden.dk/addresses/0a3f50c6-a7fe-32b8-e044-0003ba298018,1.809.000,126,1.778,870
Hvedebjergvej 7,Brabrand,Hvedebjergvej 7,8220,56.16203,10.125451,4 værelser,Villa,,,C,3898000,Østjylland,531 dage,https://www.boligsiden.dk/addresses/0a3f50c3-308c-32b8-e044-0003ba298018,2.919.000,136,2.516,806
Vesterled 15,Viborg,Vesterled 15,8800,56.456383,9.384105,2 værelser,Villa,,,D,1495000,Vestjylland,58 dage,https://www.boligsiden.dk/addresses/0a3f50c6-a519-32b8-e044-0003ba298018,1.960.000,96,2.129,788
Orehoved Langgade 49,Nørre Alslev,Orehoved Langgade 49,4840,54.94675,11.861304,- værelser,Villa,,,E,1695000,Vest- og Sydsjælland,47 dage,https://www.boligsiden.dk/addresses/0a3f50b0-e1b1-32b8-e044-0003ba298018,,90,2.167,3145
Sdr. Saltumvej 16,Saltum,Sdr. Saltumvej 16,9493,57.270206,9.700952,4 værelser,Villa,,,C,1495000,Nordjylland,12 dage,https://www.boligsiden.dk/addresses/0a3f50c8-f20a-32b8-e044-0003ba298018,822.000,182,1.907,7873
Ilkjæret 8,Erslev,Ilkjæret 8,7950,56.837357,8.74497,3 værelser,Villa,,,D,975000,Nordjylland,9 dage,https://www.boligsiden.dk/addresses/0a3f50c5-4a91-32b8-e044-0003ba298018,613.000,169,1.384,3446
Skanderborgvej 33,Ry,Skanderborgvej 33,8680,56.091545,9.762296,6 værelser,Villa,,,C,4999000,Østjylland,123 dage,https://www.boligsiden.dk/addresses/0a3f50c1-8e77-32b8-e044-0003ba298018,2.929.000,144,2.469,221
Ravnsgårdsvej 107,Fredericia,Ravnsgårdsvej 107,7000,55.521427,9.727172,9 værelser,Villa,,,E,2995000,Sydjylland,733 dage,https://www.boligsiden.dk/addresses/0a3f50ba-c883-32b8-e044-0003ba298018,3.377.000,259,3.323,1738
Niels Skovgaards Vej 49,Vejen,Niels Skovgaards Vej 49,6600,55.455128,9.1125,4 værelser,Villa,,,A2015,3195000,Sydjylland,57 dage,https://www.boligsiden.dk/addresses/365b24bf-5ebb-4936-8da8-4fe3ac1c64dd,2.492.000,125,2.054,940
Råsted Kirkevej 24A,Vemb,Råsted Kirkevej 24A,7570,56.315395,8.426637,5 værelser,Villa,,,E,1995000,Vestjylland,55 dage,https://www.boligsiden.dk/addresses/0a3f50be-20dd-32b8-e044-0003ba298018,1.609.000,127,2.039,11576
Bøgevang 8,Vejle,Bøgevang 8,7100,55.699863,9.525899,6 værelser,Villa,,,D,2795000,Sydjylland,40 dage,https://www.boligsiden.dk/addresses/0a3f50bc-a22d-32b8-e044-0003ba298018,2.762.000,160,3.102,886
Eventyrbakken 13,Aarup,Eventyrbakken 13,5560,55.372303,10.052114,5 værelser,Villa,,,A2015,3295000,Fyn,8 dage,https://www.boligsiden.dk/addresses/1b601b71-9bd3-4171-b49d-8c20868224a7,,167,990.0,1199
Skyttemarksvej 78,Næstved,Skyttemarksvej 78,4700,55.229168,11.781715,4 værelser,Villa,,,C,1595000,Vest- og Sydsjælland,16 dage,https://www.boligsiden.dk/addresses/0a3f50b0-c24b-32b8-e044-0003ba298018,1.629.000,116,2.185,791
Højåsen 54,Skælskør,Højåsen 54,4230,55.251904,11.269212,6 værelser,Villa,,,A2020,3495000,Vest- og Sydsjælland,186 dage,https://www.boligsiden.dk/addresses/0a3f50ae-6751-32b8-e044-0003ba298018,2.900.000,172,2.733,836
Tovskovvej 39,Sommersted,Tovskovvej 39,6560,55.320904,9.263477,6 værelser,Villa,,,D,975000,Sydjylland,40 dage,https://www.boligsiden.dk/addresses/0a3f50b8-1fba-32b8-e044-0003ba298018,530.000,166,1.019,497
Havebo 11B,Valby,Havebo 11B,2500,55.667095,12.48392,6 værelser,Villa,,,C,10495000,Byen København,75 dage,https://www.boligsiden.dk/addresses/0a3f509e-9233-32b8-e044-0003ba298018,8.274.000,141,5.408,414
Skyumvej 45,Thisted,Skyumvej 45,7700,56.87694,8.628773,4 værelser,Villa,,,E,1895000,Nordjylland,55 dage,https://www.boligsiden.dk/addresses/0a3f50c6-2cf6-32b8-e044-0003ba298018,606.000,149,1.303,2374
Krægevænget 27,Odense N,Krægevænget 27,5270,55.44017,10.402214,4 værelser,Villa,,,C,2975000,Fyn,44 dage,https://www.boligsiden.dk/addresses/0a3f50b4-3c6b-32b8-e044-0003ba298018,2.765.000,195,2.148,719
Stengårdsvej 11,Juelsminde,Stengårdsvej 11,7130,55.809658,10.001896,5 værelser,Villa,,,C,2395000,Østjylland,51 dage,https://www.boligsiden.dk/addresses/0a3f50bb-d1a0-32b8-e044-0003ba298018,1.981.000,149,1.737,840
Præstelunden 22,Ringsted,Præstelunden 22,4100,55.452587,11.778526,6 værelser,Villa,,,C,4495000,Vest- og Sydsjælland,19 dage,https://www.boligsiden.dk/addresses/0a3f50ae-4a33-32b8-e044-0003ba298018,4.083.000,171,3.254,728
Folehaven 121,Valby,Folehaven 121,2500,55.652138,12.494371,5 værelser,Villa,,,D,5275000,Byen København,64 dage,https://www.boligsiden.dk/addresses/0a3f509e-1253-32b8-e044-0003ba298018,5.352.000,124,4.214,783
Hyllingeriis 11,Skibby,Hyllingeriis 11,4050,55.769764,12.049943,6 værelser,Villa,,,,3695000,Nordsjælland,19 dage,https://www.boligsiden.dk/addresses/0a3f50aa-72e4-32b8-e044-0003ba298018,3.740.000,155,3.69,5565
Harvevænget 36,Esbjerg Ø,Harvevænget 36,6705,55.5096,8.560469,4 værelser,Villa,,,C,1325000,Sydjylland,26 dage,https://www.boligsiden.dk/addresses/0a3f50b8-eee7-32b8-e044-0003ba298018,1.453.000,126,1.588,765
Magsvej 20,Aalborg,Magsvej 20,9000,57.03081,9.917228,6 værelser,Villa,,,D,5245000,Nordjylland,23 dage,https://www.boligsiden.dk/addresses/0a3f50ca-61cc-32b8-e044-0003ba298018,3.640.000,120,3.128,788
Marievej 23,Skovlunde,Marievej 23,2740,55.72495,12.4024935,5 værelser,Villa,,,C,4195000,Københavns omegn,2 dage,https://www.boligsiden.dk/addresses/0a3f50a3-2dcb-32b8-e044-0003ba298018,3.945.000,120,4.247,829
Gefionsvej 54,Lemvig,Gefionsvej 54,7620,56.56023,8.329744,5 værelser,Villa,,,A2015,3395000,Vestjylland,12 dage,https://www.boligsiden.dk/addresses/250985fb-351c-451a-9e7f-1cab6fa86cc0,2.812.000,160,2.333,1171
Tingstedvej 23,Hedehusene,Tingstedvej 23,2640,55.621323,12.187982,3 værelser,Villa,,,,4495000,Københavns omegn,50 dage,https://www.boligsiden.dk/addresses/0a3f50a5-ed1d-32b8-e044-0003ba298018,,122,3.596,1185
Kildevej 21,Horsens,Kildevej 21,8700,55.84761,9.849008,4 værelser,Villa,,,F,1495000,Østjylland,36 dage,https://www.boligsiden.dk/addresses/0a3f50bb-66be-32b8-e044-0003ba298018,1.373.000,102,1.484,591
Syvhøjvænge 27,Vallensbæk,Syvhøjvænge 27,2625,55.644505,12.368025,4 værelser,Villa,,,D,3595000,Københavns omegn,57 dage,https://www.boligsiden.dk/addresses/0a3f50a7-8c82-32b8-e044-0003ba298018,3.340.000,116,3.826,772
Vipstjertvej 11,Ebeltoft,Vipstjertvej 11,8400,56.196056,10.694636,4 værelser,Villa/Fritidsbolig,,,E,1195000,Østjylland,43 dage,https://www.boligsiden.dk/addresses/0a3f50bf-9a8e-32b8-e044-0003ba298018,1.103.000,82,1.737,907
Romaltvej 139,Randers SØ,Romaltvej 139,8960,56.447598,10.100877,8 værelser,Villa,,,C,3195000,Østjylland,55 dage,https://www.boligsiden.dk/addresses/0a3f50c1-2c25-32b8-e044-0003ba298018,,259,3.174,2587
Skovvej 17,Skagen,Skovvej 17,9990,57.719955,10.58106,5 værelser,Villa,,,G,7600000,Nordjylland,74 dage,https://www.boligsiden.dk/addresses/0a3f50c9-4005-32b8-e044-0003ba298018,3.693.000,166,4.037,633
Hermann Justvej 11,Hillerød,Hermann Justvej 11,3400,55.934834,12.321594,5 værelser,Villa,,,C,5350000,Nordsjælland,230 dage,https://www.boligsiden.dk/addresses/0a3f50a9-b596-32b8-e044-0003ba298018,6.683.000,152,4.469,678
Askhøjvej 45,Trustrup,Askhøjvej 45,8570,56.36104,10.704514,5 værelser,Villa,,,G,345000,Østjylland,48 dage,https://www.boligsiden.dk/addresses/0a3f50bf-c174-32b8-e044-0003ba298018,442.000,100,995.0,1501
Engelstrupvej 1,Tappernøje,Engelstrupvej 1,4733,55.19161,11.986659,4 værelser,Villa,,,C,975000,Vest- og Sydsjælland,56 dage,https://www.boligsiden.dk/addresses/0a3f50af-89ff-32b8-e044-0003ba298018,1.023.000,129,1.377,949
Muskatvej 6,Silkeborg,Muskatvej 6,8600,56.204414,9.608895,5 værelser,Villa,,,A2015,4995000,Østjylland,20 dage,https://www.boligsiden.dk/addresses/4d045233-2462-4ec3-9b2c-7f66db0a0003,,177,3.442,714
Præstegårdsmarken 1,Brædstrup,Præstegårdsmarken 1,8740,55.922894,9.678143,7 værelser,Villa,,,C,3495000,Østjylland,40 dage,https://www.boligsiden.dk/addresses/0a3f50ba-4608-32b8-e044-0003ba298018,1.668.000,248,2.459,2839
Mandalvej 14,Hjørring,Mandalvej 14,9800,57.461536,9.965077,7 værelser,Villa,,,D,1945000,Nordjylland,2 dage,https://www.boligsiden.dk/addresses/0a3f50c8-2d4e-32b8-e044-0003ba298018,1.611.000,204,1.96,1040
Landsled 2,Stege,Landsled 2,4780,54.988705,12.37712,5 værelser,Villa/Fritidsbolig,,,F,1250000,Vest- og Sydsjælland,40 dage,https://www.boligsiden.dk/addresses/0a3f50af-e905-32b8-e044-0003ba298018,1.345.000,152,1.703,1720
Munkevænget 16,Egå,Munkevænget 16,8250,56.232166,10.286739,4 værelser,Villa,,,D,3899000,Østjylland,61 dage,https://www.boligsiden.dk/addresses/0a3f50c3-ad0c-32b8-e044-0003ba298018,,98,2.806,2406
Søholmvej 5,Nordborg,Søholmvej 5,6430,55.029335,9.74803,6 værelser,Villa,,,C,1995000,Sydjylland,6 dage,https://www.boligsiden.dk/addresses/0a3f50b7-23a4-32b8-e044-0003ba298018,656.000,190,1.373,815
Sulsted Kærvej 16,Sulsted,Sulsted Kærvej 16,9381,57.16378,9.948169,5 værelser,Villa,,,C,1775000,Nordjylland,9 dage,https://www.boligsiden.dk/addresses/0a3f50ca-ccc1-32b8-e044-0003ba298018,1.403.000,165,1.38,894
Peter Andersens Vej 25,Skagen,Peter Andersens Vej 25,9990,57.728214,10.575924,7 værelser,Villa,,,B,3245000,Nordjylland,284 dage,https://www.boligsiden.dk/addresses/0a3f50c9-38ff-32b8-e044-0003ba298018,1.873.000,182,1.857,769
Skabermøllevej 34,Viborg,Skabermøllevej 34,8800,56.424828,9.424467,6 værelser,Villa,,,A2020,4995000,Vestjylland,0 dag,https://www.boligsiden.dk/addresses/ad5e7af6-99dc-4ae7-b512-170a933701b0,3.900.000,204,3.237,702
Stubbevangen 8,Brønshøj,Stubbevangen 8,2700,55.710484,12.509361,4 værelser,Villa,,,D,7495000,Byen København,2 dage,https://www.boligsiden.dk/addresses/0a3f50a0-ed76-32b8-e044-0003ba298018,6.418.000,108,4.647,472
Sdr. Thisevej 19,Roslev,Sdr. Thisevej 19,7870,56.69996,9.137648,5 værelser,Villa,,,C,795000,Vestjylland,401 dage,https://www.boligsiden.dk/addresses/0a3f50c5-dfae-32b8-e044-0003ba298018,665.000,155,1.199,1280
Tinghøjvej 2,Bedsted Thy,Tinghøjvej 2,7755,56.831085,8.465645,4 værelser,Villa,,,E,875000,Nordjylland,Til salg i alt:65dage,https://www.boligsiden.dk/addresses/0a3f50c5-fa64-32b8-e044-0003ba298018,592.000,140,1.528,5240
Ørevadsvej 9,København NV,Ørevadsvej 9,2400,55.71376,12.518685,6 værelser,Villa,,,D,8995000,Byen København,Til salg i alt:214dage,https://www.boligsiden.dk/addresses/0a3f50a1-d5cc-32b8-e044-0003ba298018,10.559.000,172,6.286,575
Vilvordeparken 2,Charlottenlund,Vilvordeparken 2,2920,55.765583,12.559445,6 værelser,Villa,,,C,12995000,Københavns omegn,75 dage,https://www.boligsiden.dk/addresses/0a3f50a4-2526-32b8-e044-0003ba298018,14.176.000,211,10.336,864
Skansevej 33,Hillerød,Skansevej 33,3400,55.933464,12.320072,5 værelser,Villa,,,E,3495000,Nordsjælland,8 dage,https://www.boligsiden.dk/addresses/0a3f50a9-cf77-32b8-e044-0003ba298018,4.239.000,124,3.772,897
Dalgårdsvej 53,Oksbøl,Dalgårdsvej 53,6840,55.623558,8.273404,4 værelser,Villa,,,C,1295000,Sydjylland,376 dage,https://www.boligsiden.dk/addresses/0a3f50b8-847d-32b8-e044-0003ba298018,1.077.000,144,1.585,434
Vestergade 46,Vrå,Vestergade 46,9760,57.35675,9.937521,5 værelser,Villa,,,C,1375000,Nordjylland,40 dage,https://www.boligsiden.dk/addresses/0a3f50c8-ae82-32b8-e044-0003ba298018,929.000,133,1.277,836
Stationsvej 12,Holmegaard,Stationsvej 12,4684,55.259357,11.846056,8 værelser,Villa,,,D,1475000,Vest- og Sydsjælland,40 dage,https://www.boligsiden.dk/addresses/0a3f50af-a872-32b8-e044-0003ba298018,1.758.000,136,2.115,1361
Gammel Landevej 17,Trige,Gammel Landevej 17,8380,56.29932,10.145121,6 værelser,Villa,,,D,2095000,Østjylland,51 dage,https://www.boligsiden.dk/addresses/0a3f50c2-e9dc-32b8-e044-0003ba298018,2.227.000,143,1.697,366
Horsbred 142,Vallensbæk,Horsbred 142,2625,55.64845,12.360624,5 værelser,Villa,,,C,4645000,Københavns omegn,40 dage,https://www.boligsiden.dk/addresses/0a3f50a7-8298-32b8-e044-0003ba298018,4.365.000,163,5.977,781
